userId,host_listing_ids,average_distance (meters)
128499967,"[661462967642289448, 668454617470364541]",28.591365931442315
116535033,"[755855287650658764, 599422927547739807]",4.677470443413999
349702502,"[673223589072867058, 693065453803524941, 692008900924002558]",69.45310127350825
67786273,"[13606625, 13660530]",0.0
130171566,"[49923553, 46172068]",56.076088292856
362772436,"[52809738, 49213134, 51199093, 51670839, 610376514186684793]",49.14846724485773
19867638,"[913111975203784864, 943418662549737180]",36.53289151640589
481961907,"[806475939822151769, 795298627713998010, 806484070732606389]",0.03688375737289998
142279642,"[20308001, 20126340, 20072202, 20120700, 20032959]",64.7625731418019
127256794,"[40756165, 40755598]",30.368292743615147
76248343,"[15831819, 16102380]",0.0
489756248,"[1126978100236978922, 1131920968045186955, 1127713689820420348, 1148030597440607165]",36.32288698832141
166653946,"[1089287349185355272, 37319037]",43.877354675531585
363822848,"[890843925812964081, 892279225958800973]",47.066507214957205
188713959,"[35619472, 35620845]",86.51025229233905
388571497,[48169586],0.0
69814,[2756891],0.0
114528294,[39054224],0.0
271090936,[662169937097948540],0.0
165815700,[679077348249418764],0.0
59377785,[28927952],0.0
347705717,[583450655193278773],0.0
411613787,[1087792788989576892],0.0
458447896,[652901884694676440],0.0
115256290,[27909855],0.0
44696678,[52263504],0.0
415161604,[894360444002204055],0.0
28511176,[33806675],0.0
2217609,[30588430],0.0
11055123,[21239157],0.0
131963567,[24408370],0.0
72743977,"[1126850826115063225, 648782034876441167]",0.0
52461014,[932281266314444510],0.0
101153598,[44406318],0.0
93757778,"[680638717418227412, 756823752183899798]",0.0
114780757,[918233589180153041],0.0
11023173,[49470649],0.0
443301262,[1039877888068959799],0.0
391612272,[674859216891213170],0.0
301577110,[39280487],0.0
473977283,[689038825765719760],0.0
293174256,[831827153845021757],0.0
10294322,[53495241],0.0
106664672,[25086142],0.0
222113189,[38750488],0.0
187012049,[1066088792708458830],0.0
3040002,[2690687],0.0
542743238,[1006655222125451704],0.0
26189316,[40156736],0.0
542044616,[1004648830542381459],0.0
3027610,[600011924187906301],0.0
516861653,[900782492942049252],0.0
43962931,[672701884316649347],0.0
474050117,[689284704312103579],0.0
59175229,[30007668],0.0
466612064,[1034129826750199916],0.0
464099426,"[648582390403257409, 942603801070283409]",0.0
74938109,[594224690597868226],0.0
5804320,[34553387],0.0
26272770,[44138659],0.0
29580853,[39469257],0.0
103605233,[828388046756245602],0.0
25237044,[732124946483310980],0.0
126508365,[27782016],0.0
507859620,[876265139094967485],0.0
460640851,"[633606009988035336, 633605941095229838]",61.98349585385384
415355586,"[781969429832277934, 974971227049711318]",0.0
572920984,[1153801179462478411],0.0
25445686,[13358141],0.0
456359542,[622649158429611961],0.0
84759163,[747822276934693182],0.0
88849559,[850329518209256722],0.0
408431002,"[1156130591151280882, 1035785706556590556]",0.0
137829553,[915522644572409207],0.0
22632494,[1005429262057641139],0.0
351575956,[997161366143380214],0.0
101252448,[902146032079027688],0.0
540384176,[1040156742634237568],0.0
545303658,[1019122490185250560],0.0
201565231,[798549353829313260],0.0
286114453,[927733005771547312],0.0
199119251,[52223437],0.0
430803557,[53213319],0.0
528834474,[947135622161706715],0.0
435805890,"[1138855300275340581, 870306112161111143]",27.03918566962726
461254925,[771154589972058322],0.0
82420581,[47392751],0.0
533872055,[967542503557747287],0.0
20168534,[694319427307634430],0.0
30593172,[52638547],0.0
525274953,[934039297432514711],0.0
88024677,[834846322135555634],0.0
74512022,[41878059],0.0
95623546,[593477703569564903],0.0
289301278,[704931779906803922],0.0
225494510,[32334291],0.0
427825052,[640636574889730224],0.0
117301065,[530405255859595622],0.0
23681447,[853120203632877559],0.0
357307258,[44306421],0.0
553646915,[1058618711820222285],0.0
17110497,[641200095507374401],0.0
176678875,[1090001189590374653],0.0
23258450,[50208122],0.0
122232744,[1030748842669774465],0.0
528090214,[944875523398684427],0.0
44191331,[8386360],0.0
303768043,[39536201],0.0
55031963,[826455653885419099],0.0
50735188,[37504536],0.0
104852259,[845155162630015344],0.0
26219481,[21997267],0.0
124882022,[1022523045231935132],0.0
258608254,[848035391731168762],0.0
150212115,[45642012],0.0
208567047,[43959595],0.0
42802722,[658777281675813315],0.0
62265862,[732670999556814515],0.0
386020538,[51389121],0.0
242308880,[792257294031970953],0.0
76031202,[35972886],0.0
13461119,[4556376],0.0
570940293,[1129113278421209940],0.0
51655372,[584128857712775381],0.0
416072330,"[1161082327950574790, 970453950655241943]",10.402028181194583
407573574,"[1142852222271487849, 1143517220384007741]",0.0
317221937,"[1122657548963770073, 1078473810602388610]",81.34992554555244
83341902,"[1042057287018668406, 1043679102675605919]",88.3654057162366
